step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
10000,0,10000,1.25077399381,0.0606470348813,0.01,830.45233798
20000,0,20000,1.3323943662,0.091413313058,0.01,1589.94674206
30000,0,30000,1.43569553806,0.103635112389,0.01,2345.91511989
40000,0,40000,1.47330097087,0.111737490169,0.01,3113.48359394
50000,1,50000,1.52714932127,0.116825423332,0.01,3863.83036208
60000,1,60000,1.82352941176,0.136186587636,0.01,4659.33014894
70000,1,70000,2.11940298507,0.140257539012,0.01,5412.91257191
80000,1,80000,2.1568627451,0.141547909273,0.01,6188.41442704
90000,1,90000,2.0652173913,0.14260393139,0.01,6966.18889904
100000,2,100000,2.08139534884,0.143973505006,0.01,7734.10964489
110000,2,110000,1.97297297297,0.149852377103,0.01,8522.17574406
120000,2,120000,2.23188405797,0.1519658087,0.01,9281.22476697
130000,2,130000,2.30693069307,0.153689208116,0.01,10034.183707
140000,2,140000,2.21897810219,0.153933204146,0.01,10782.9625769
150000,3,150000,2.15606936416,0.154686684083,0.01,11551.2444179
160000,3,160000,2.64516129032,0.155004144412,0.01,12339.1214159
170000,3,170000,2.07462686567,0.156952198755,0.01,13113.0517709
180000,3,180000,1.91346153846,0.157737125663,0.01,13872.0029049
190000,3,190000,2.0,0.157558686538,0.01,14626.2036428
200000,4,200000,2.02259887006,0.15838081408,0.01,15394.873816
210000,4,210000,2.0303030303,0.167103294457,0.01,16176.956203
220000,4,220000,2.05797101449,0.169163194325,0.01,16926.795177
230000,4,230000,2.06666666667,0.171210266253,0.01,17686.9989719
240000,4,240000,2.17985611511,0.17281037532,0.01,18442.2331629
250000,5,250000,2.20809248555,0.173630002798,0.01,19200.8319941
260000,5,260000,2.19444444444,0.176081455794,0.01,19986.1676209
270000,5,270000,2.39189189189,0.182547685093,0.01,20748.2172949
280000,5,280000,2.45689655172,0.192619690808,0.01,21508.226351
290000,5,290000,2.55405405405,0.196127905663,0.01,22267.2444251
300000,6,300000,2.46195652174,0.204221404451,0.01,23019.781384
310000,6,310000,2.45714285714,0.231552264662,0.01,23801.7360311
320000,6,320000,2.51515151515,0.226437459406,0.01,24563.6558669
330000,6,330000,2.64893617021,0.220349033743,0.01,25325.7030969
340000,6,340000,2.74015748031,0.220895103318,0.01,26080.8528049
350000,7,350000,2.7898089172,0.220139048454,0.01,26855.5288529
360000,7,360000,2.90909090909,0.208766364343,0.01,27643.2486289
370000,7,370000,3.28985507246,0.209433584217,0.01,28406.917536
380000,7,380000,3.21568627451,0.211560016457,0.01,29173.123956
390000,7,390000,3.09219858156,0.215760255641,0.01,29937.102118
